id_prodi,kode_prodi,tahun,daya_tampung,peminat,diterima,keketatan
111027,11111027,2022,15,1066,17,1.41%
111027,11111027,2023,15,1248,18,1.2%
111027,11111027,2024,24,1441,24,1.67%
111027,11111027,2025,24,1311,24,1.83%
111028,11111028,2021,20,81,20,24.69%
111028,11111028,2022,23,96,23,23.96%
111028,11111028,2023,23,66,23,34.85%
111028,11111028,2024,36,83,36,43.37%
111028,11111028,2025,24,88,24,27.27%
111029,11111029,2021,20,220,20,9.09%
111029,11111029,2022,20,253,21,7.91%
111029,11111029,2023,23,435,23,5.29%
111029,11111029,2024,36,605,36,5.95%
111029,11111029,2025,36,662,36,5.44%
111030,11111030,2021,25,267,30,9.36%
111030,11111030,2022,23,292,27,7.88%
111030,11111030,2023,23,275,25,8.36%
111030,11111030,2024,36,253,36,14.23%
111030,11111030,2025,36,270,36,13.33%
111031,11111031,2021,45,61,46,73.77%
111031,11111031,2022,30,59,28,50.85%
111031,11111031,2023,38,60,38,63.33%
111031,11111031,2024,36,56,36,64.29%
111031,11111031,2025,36,50,36,72%
111032,11111032,2021,20,65,20,30.77%
111032,11111032,2022,20,75,20,26.67%
111032,11111032,2023,23,81,23,28.4%
111032,11111032,2024,36,64,36,56.25%
111032,11111032,2025,36,67,36,53.73%
111033,11111033,2021,20,78,20,25.64%
111033,11111033,2022,20,101,22,19.8%
111033,11111033,2023,20,88,20,22.73%
111033,11111033,2024,24,126,24,19.05%
111033,11111033,2025,24,206,24,11.65%
111034,11111034,2021,13,5,4,260%
111034,11111034,2022,13,5,4,260%
111034,11111034,2023,10,11,6,90.91%
111034,11111034,2024,12,20,8,60%
111034,11111034,2025,12,15,9,80%
111035,11111035,2021,10,2,1,500%
111035,11111035,2022,10,1,1,1000%
111035,11111035,2023,13,16,10,81.25%
111035,11111035,2024,12,10,7,120%
111035,11111035,2025,12,12,6,100%
111036,11111036,2021,13,25,11,52%
111036,11111036,2022,13,13,9,100%
111036,11111036,2023,13,27,20,48.15%
111036,11111036,2024,18,15,10,120%
111036,11111036,2025,18,18,8,100%
111037,11111037,2021,20,43,21,46.51%
111037,11111037,2022,20,53,22,37.74%
111037,11111037,2023,15,41,15,36.59%
111037,11111037,2024,24,49,24,48.98%
111037,11111037,2025,24,62,24,38.71%
111038,11111038,2021,15,221,15,6.79%
111038,11111038,2022,15,250,15,6%
111038,11111038,2023,23,229,23,10.04%
111038,11111038,2024,36,250,36,14.4%
111038,11111038,2025,36,252,36,14.29%
111039,11111039,2021,20,179,21,11.17%
111039,11111039,2022,20,148,20,13.51%
111039,11111039,2023,25,125,25,20%
111039,11111039,2024,36,113,36,31.86%
111039,11111039,2025,36,170,36,21.18%
111040,11111040,2021,25,639,25,3.91%
111040,11111040,2022,25,701,26,3.57%
111040,11111040,2023,30,644,30,4.66%
111040,11111040,2024,48,773,48,6.21%
111040,11111040,2025,48,712,48,6.74%
111041,11111041,2021,40,245,40,16.33%
111041,11111041,2022,54,227,54,23.79%
111041,11111041,2023,40,229,40,17.47%
111041,11111041,2024,48,260,48,18.46%
111041,11111041,2025,48,317,48,15.14%
111042,11111042,2021,50,990,50,5.05%
111042,11111042,2022,73,847,73,8.62%
111042,11111042,2023,65,974,65,6.67%
111042,11111042,2024,60,1058,60,5.67%
